Z30_SUB_LIBRARY	Z30_COLLECTION	legacy_code	folio_code
SCJOS	SJC	SCJOS SJC	SJC
SCJOS	SJCDR	SCJOS SJCDR	SJCDR
SCJOS	SJCR	SCJOS SJCR	SJCR
SCJOS	SJHD	SCJOS SJHD	SJHD
SCJOS	SJIN	SCJOS SJIN	SJIN
SCJOS	SJMIC	SCJOS SJMIC	SJMIC
SCJOS	SJMTR	SCJOS SJMTR	SJMTR
SCJOS	SJO	SCJOS SJO	SJO
SCJOS	SJPER	SCJOS SJPER	SJPER
SCJOS	SJR	SCJOS SJR78	SJR78
SCJOS	SJRB	SCJOS SJRB	SJRB
SCJOS	SJREC	SCJOS SJREC	SJREC
SCJOS	SJRES	SCJOS SJRES	SJRES
SCJOS	SJRF	SCJOS SJRF	SJRF
SCJOS	SJRFV	SCJOS SJRFV	SJRFV
SCJOS	SJRFO	SCJOS SJRFO	SJRFO
SCJOS	SJRFQ	SCJOS SJRFQ	SJRFQ
SCJOS	SJRFT	SCJOS SJRFT	SJRFT
SCJOS	SJRR	SCJOS SJRR	SJRR
SCJOS	SJSB	SCJOS SJSB	SJSB
SCJOS	SJSFB	SCJOS SJSFB	SJSFB
SCJOS	SJSFF	SCJOS SJSFF	SJSFF
SCJOS	SJSFS	SCJOS SJSFS	SJSFS
SCJOS	SJSLP	SCJOS SJSLP	SJSLP
SCJOS	SJSMS	SCJOS SJSMS	SJSMS
SCJOS	SJSS	SCJOS SJSS	SJSS
SCJOS	SJTR	SCJOS SJTR	SJTR
SCJOS	SJTRF	SCJOS SJTRF	SJTRF
SCJOS	SJTU	SCJOS SJTU	SJTU
SCJOS	SJVD	SCJOS SJVD	SJVD
SCJOS	SJVDV	SCJOS SJVDV	SJVDV
SCJOS	SJVLD	SCJOS SJVLD	SJVLD
SCJOS	SJXCD	SCJOS SJXCD	SJXCD
SCJOS	SJXCF	SCJOS SJXCF	SJXCF
SCJOS	SJXCS	SCJOS SJXCS	SJXCS
SCNLS	SNHBK	SCNLS SNHBK	SNHBK
SCNLS	SNATL	SCNLS SNATL	SNATL
SCNLS	SNAUD	SCNLS SNAUD	SNAUD
SCNLS	SNBUR	SCNLS SNBUR	SNBUR
SCNLS	SNCAF	SCNLS SNCAF	SNCAF
SCNLS	SNCAV	SCNLS SNCAV	SNCAV
SCNLS	SNDVD	SCNLS SNDVD	SNDVD
SCNLS	SNEAL	SCNLS SNEAL	SNEAL
SCNLS	SNMSC	SCNLS SNMSC	SNMSC
SCNLS	SNOVR	SCNLS SNOVR	SNOVR
SCNLS	SNPOP	SCNLS SNPOP	SNPOP
